Designator,Mid X,Mid Y,Rotation,Layer
C1,-47.7,16.69,180.0,top
C10,-26.37,19.19,90.0,top
C11,-27.57,19.69,90.0,top
C12,-47.72,13.69,180.0,top
C13,-42.97,18.29,180.0,top
C14,-40.67,16.49,180.0,top
C15,-30.47,27.89,0.0,top
C16,-30.47,29.39,0.0,top
C17,-19.19,14.04,270.0,top
C18,-33.72,29.39,180.0,top
C19,-23.57,26.94,0.0,top
C2,-40.67,13.34,0.0,top
C20,-44.37,26.94,0.0,top
C21,-47.72,15.17,180.0,top
C22,-33.72,27.89,180.0,top
C23,-44.97,18.29,0.0,top
C3,-40.67,19.64,0.0,top
C4,-40.67,17.54,180.0,top
C5,-47.7,18.19,180.0,top
C6,-19.67,19.6642,0.0,top
C7,-23.47,30.69,0.0,top
C8,-44.47,30.69,0.0,top
C9,-19.67,20.69,0.0,top
D1,-43.97,13.69,0.0,top
DS1,-29.67,25.64,270.0,top
DS2,-34.47,25.64,270.0,top
DS4,-32.07,25.64,270.0,top
N11,-31.47,34.69,90.0,bottom
N12,-36.47,34.69,90.0,bottom
N13,-25.97,34.69,90.0,bottom
N14,-20.97,34.69,90.0,bottom
N15,-46.97,34.69,90.0,top
N16,-41.97,34.69,90.0,bottom
NTC1,-33.97,30.59,180.0,top
Q1,-44.47,21.69,90.0,top
Q10,-40.97,25.19,0.0,top
Q11,-23.47,21.69,90.0,top
Q2,-37.07,28.69,90.0,top
Q3,-20.17,28.69,0.0,top
Q4,-26.97,28.69,180.0,top
Q5,-40.97,28.69,0.0,top
Q6,-47.77,28.69,180.0,top
Q7,-26.97,25.19,180.0,top
Q8,-20.17,25.19,0.0,top
Q9,-47.77,25.19,180.0,top
R1,-40.67,15.44,0.0,top
R10,-31.98,23.64,180.0,top
R11,-30.87,25.19,90.0,top
R12,-33.27,25.19,90.0,top
R14,-19.67,21.74,0.0,top
R15,-40.67,21.74,0.0,top
R16,-21.32,21.89,90.0,top
R17,-19.67,22.79,0.0,top
R18,-46.62,21.89,90.0,top
R19,-48.27,22.79,180.0,top
R2,-19.19,16.04,90.0,top
R20,-25.62,21.89,90.0,top
R21,-27.27,22.79,180.0,top
R22,-42.33,21.89,90.0,top
R23,-40.67,22.79,0.0,top
R24,-40.67,18.59,0.0,top
R25,-40.67,20.69,0.0,top
R27,-19.19,18.04,90.0,top
R28,-36.07,23.64,180.0,top
R3,-27.27,21.74,180.0,top
R4,-48.27,21.72,180.0,top
R5,-40.67,14.39,0.0,top
R6,-29.87,23.64,180.0,top
R7,-34.09,23.64,180.0,top
R8,-38.06,23.61,180.0,top
U3,-43.97,16.09,90.0,top
U4,-23.87,16.04,180.0,top
U5,-33.97,18.19,270.0,top
