C1:1
C10:1
C11:1
C12:1
C14:1
C15:1
C16:1
C17:1
C19:1
C2:1
C20:1
C23:1
C28:1
C29:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
DS1:1
DS2:1
DS3:1
G***:4
N1:1
N11:1
N12:1
N13:1
N14:1
N15:1
N16:1
N2:1
N3:1
N4:1
N5:1
N6:1
N7:1
N8:1
R1:1
R10:1
R11:1
R12:1
R2:1
R24:1
R25:1
R27:1
R3:1
R6:1
R7:1
TP1:1
TP2:1
TP3:1
TP4:1
U1:1
U2:1
U3:1
U4:1
U5:1
