Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2, J3, J4, J7, J8",PinHeader_1x03_P2.54mm_Vertical,6,Conn_01x03,
"J10, J5",Pins-2.54-1x2,2,Pins_2.54_1x2,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R8, R9",R_0603,11,0R,
"TP1, TP11, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP22, TP24, TP26, TP3, TP30, TP31, TP4, TP5, TP6, TP7",TestPoint_THTPad_D3.0mm_Drill1.5mm,20,TestPoint,
