Designator,Mid X,Mid Y,Rotation,Layer
J1,8.25,10.025,180.0,top
J10,13.499999,-20.8,90.0,bottom
J2,22.075,12.31,270.0,top
J3,22.075,9.77,270.0,top
J4,12.25,10.025,180.0,top
J5,25.499999,-20.8,90.0,bottom
J7,22.075,7.23,270.0,top
J8,22.075,4.69,270.0,top
M1,-19.25,-65.0,0.0,top
M10,-4.75,-38.0,0.0,top
M11,40.0,10.0,0.0,top
M12,33.0,10.0,0.0,top
M13,8.25,-28.0,0.0,top
M14,8.25,-38.0,0.0,top
M15,43.25,-28.0,0.0,top
M16,43.25,-38.0,0.0,top
M17,56.25,-28.0,0.0,top
M18,56.25,-38.0,0.0,top
M2,70.75,25.0,0.0,top
M3,70.75,-65.0,0.0,top
M4,25.75,25.0,0.0,top
M5,-19.25,25.0,0.0,top
M6,70.75,-20.0,0.0,top
M7,-19.25,-20.0,0.0,top
M8,25.75,-65.0,0.0,top
M9,-4.75,-28.0,0.0,top
R10,9.25,-11.22,180.0,bottom
R11,9.25,-13.76,180.0,bottom
R12,9.25,-16.3,180.0,bottom
R13,8.5,1.0,90.0,bottom
R14,19.5,-16.0,270.0,bottom
R15,17.0,-16.0,270.0,bottom
R16,3.81,-13.4,270.0,bottom
R17,22.0,-16.0,270.0,bottom
R18,16.5,1.0,90.0,bottom
R8,11.04,1.0,90.0,bottom
R9,9.25,-8.68,180.0,bottom
