Designator,Mid X,Mid Y,Rotation,Layer
C1,-41.22,16.64,0.0,top
C13,-30.27,29.19,180.0,top
C15,-20.22,16.64,0.0,top
C16,-20.22,18.14,0.0,top
C17,-26.72,13.64,180.0,top
C18,-26.72,16.64,180.0,top
C2,-47.72,13.64,180.0,top
C20,-26.72,18.14,180.0,top
C3,-22.67,18.34,90.0,top
C4,-41.22,15.14,0.0,top
C5,-41.22,13.64,0.0,top
C7,-23.47,30.69,0.0,top
C8,-44.47,30.69,0.0,top
DS1,-30.97,25.19,270.0,top
DS2,-36.97,25.19,270.0,top
DS3,-33.97,25.19,270.0,top
L1,-26.72,15.14,180.0,top
N11,-31.47,34.69,90.0,bottom
N12,-36.47,34.69,90.0,bottom
N13,-25.97,34.69,90.0,bottom
N14,-20.97,34.69,90.0,bottom
N15,-46.97,34.69,90.0,top
N16,-41.97,34.69,90.0,bottom
Q1,-44.47,21.79,90.0,top
Q10,-41.17,28.69,0.0,top
Q11,-23.47,21.79,90.0,top
Q2,-36.97,28.69,180.0,top
Q3,-20.17,25.19,0.0,top
Q4,-26.77,25.19,180.0,top
Q5,-41.17,25.19,0.0,top
Q6,-47.77,25.19,180.0,top
Q7,-26.77,28.69,180.0,top
Q8,-20.17,28.69,0.0,top
Q9,-47.77,28.69,180.0,top
R1,-41.22,19.665,0.0,top
R10,-44.4606,26.9286,180.0,top
R11,-32.47,25.19,90.0,top
R12,-38.47,25.19,90.0,top
R13,-35.47,25.19,90.0,top
R14,-20.22,19.64,0.0,top
R15,-43.67,18.04,270.0,top
R16,-25.97,21.94,90.0,top
R17,-27.52,21.94,270.0,top
R18,-46.97,21.94,90.0,top
R19,-48.52,21.94,270.0,top
R20,-20.97,21.94,270.0,top
R21,-19.42,21.94,270.0,top
R22,-41.97,21.94,270.0,top
R23,-40.42,21.94,270.0,top
R24,-30.27,27.69,0.0,top
R25,-29.47,25.19,270.0,top
R26,-24.27,18.34,270.0,top
R28,-41.22,18.115,180.0,top
R29,-20.22,15.14,0.0,top
R3,-26.72,19.64,180.0,top
R30,-20.22,13.64,0.0,top
R4,-47.72,19.64,180.0,top
R5,-45.27,18.04,90.0,top
R6,-47.72,15.14,0.0,top
R7,-47.72,18.14,180.0,top
R8,-47.72,16.64,180.0,top
R9,-23.4802,26.9286,0.0,top
U2,-23.47,14.84,90.0,top
U3,-44.47,14.84,270.0,top
U5,-33.97,18.19,270.0,top
