G***:1
J1:1
J10:1
J2:1
J3:1
J4:1
J5:1
J7:1
J8:1
M1:1
M10:1
M11:1
M12:1
M13:1
M14:1
M15:1
M16:1
M17:1
M18:1
M19:1
M2:1
M20:1
M21:1
M22:1
M23:1
M24:1
M25:1
M3:1
M4:1
M5:1
M6:1
M7:1
M8:1
M9:1
N2:1
R1:1
R10:1
R14:1
R15:1
R16:1
R17:1
R2:1
R3:1
R9:1
TP1:1
TP10:1
TP11:1
TP12:1
TP13:1
TP14:1
TP15:1
TP16:1
TP17:1
TP18:1
TP19:1
TP2:1
TP20:1
TP21:1
TP22:1
TP24:1
TP26:1
TP3:1
TP30:1
TP31:1
TP4:1
TP5:1
TP6:1
TP7:1
TP8:1
TP9:1
