Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2, J3, J4, J7, J8",PinHeader_1x03_P2.54mm_Vertical,6,Conn_01x03,
"J10, J5",Pins-2.54-1x2,2,Pins_2.54_1x2,
"R1, R10, R14, R15, R16, R17, R2, R3, R9",R_0603,9,0R,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP24, TP26, TP3, TP30, TP31, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_THTPad_D3.0mm_Drill1.5mm,26,TestPoint,
